NACA 0014
 1.00000     0.00147
 0.99280     0.00264
 0.97989     0.00472
 0.96352     0.00731
 0.94455     0.01025
 0.92350     0.01343
 0.90075     0.01678
 0.87658     0.02025
 0.85123     0.02378
 0.82489     0.02734
 0.79774     0.03090
 0.76991     0.03442
 0.74154     0.03789
 0.71275     0.04129
 0.68365     0.04458
 0.65434     0.04775
 0.62492     0.05079
 0.59547     0.05367
 0.56607     0.05638
 0.53680     0.05889
 0.50774     0.06119
 0.47895     0.06326
 0.45050     0.06508
 0.42246     0.06664
 0.39488     0.06792
 0.36782     0.06891
 0.34135     0.06959
 0.31551     0.06996
 0.29035     0.07000
 0.26594     0.06970
 0.24231     0.06907
 0.21951     0.06809
 0.19760     0.06677
 0.17661     0.06511
 0.15660     0.06312
 0.13760     0.06079
 0.11965     0.05814
 0.10280     0.05518
 0.08709     0.05191
 0.07256     0.04836
 0.05924     0.04454
 0.04717     0.04045
 0.03639     0.03612
 0.02694     0.03156
 0.01885     0.02678
 0.01215     0.02180
 0.00688     0.01662
 0.00308     0.01126
 0.00078     0.00572
 0.00000     0.00000
 0.00078    -0.00572
 0.00308    -0.01126
 0.00688    -0.01662
 0.01215    -0.02180
 0.01885    -0.02678
 0.02694    -0.03156
 0.03639    -0.03612
 0.04717    -0.04045
 0.05924    -0.04454
 0.07256    -0.04836
 0.08709    -0.05191
 0.10280    -0.05518
 0.11965    -0.05814
 0.13760    -0.06079
 0.15660    -0.06312
 0.17661    -0.06511
 0.19760    -0.06677
 0.21951    -0.06809
 0.24231    -0.06907
 0.26594    -0.06970
 0.29035    -0.07000
 0.31551    -0.06996
 0.34135    -0.06959
 0.36782    -0.06891
 0.39488    -0.06792
 0.42246    -0.06664
 0.45050    -0.06508
 0.47895    -0.06326
 0.50774    -0.06119
 0.53680    -0.05889
 0.56607    -0.05638
 0.59547    -0.05367
 0.62492    -0.05079
 0.65434    -0.04775
 0.68365    -0.04458
 0.71275    -0.04129
 0.74154    -0.03789
 0.76991    -0.03442
 0.79774    -0.03090
 0.82489    -0.02734
 0.85123    -0.02378
 0.87658    -0.02025
 0.90075    -0.01678
 0.92350    -0.01343
 0.94455    -0.01025
 0.96352    -0.00731
 0.97989    -0.00472
 0.99280    -0.00264
 1.00000    -0.00147
