46663368.00,1.29,-47.12,162.92
25014.00,2398.66,-46.15,161.85
122504.00,489.78,-37.03,165.50
134578.00,445.84,-22.31,166.78
12386.65,-3.83,162.19
19447.00,3085.31,-1.30,158.04
117700.00,5067,101.20,95.55
107987.00,555.62,109.81,73.47
106464.00,563.57,112.81,50.70
106412.00,563.85,113.31,28.31
105704.00,567.62,110.73,7.17
106360.00,564.12,106.33,-12.85
105678.00,567.76,101.77,-31.03
103157.00,581.64,93.49,-49.21
99141.00,605.20,85.63,-52.55
7824780,73.26,-56.23
18346.00,3270.47,65.16,-56.38
75936.00,790.14,54.16,-60.59
17664.00,3396.74,47.36,-60.22
73468.00,816.68,39.20,-62.19
89455.00,670.73,30.03,-63.41
87067.00,689.12,22.96,-63.36
86225.00,695.85,16.69,-62.86
16036.00,3741.58,11.97,-61.85
69452.00,863.91,6.15,-61.19
84651.00,708.79,-3.83,-59.02
99220.00,604.72,-17.21,-58.80
84547.00,709.66,-25.78,-58.18
83968.00,714.56,-33.64,-58.32
84494.00,710.11,-40.28,-58.50
83103.00,722.00,-46.07,-58.37
82998.00,722.91,-46.46,-58.78
21940.00,2734.73,-42.86,-59.55
59531.00,1007.88,-42.56,-59.86
80609.00,744.33,-43.55,-58.77
79086.00,758.67,-44.99,-58.42
100034.00,599.80,-42.80,-63.45
77460.00,774.59,-39.36,-67.35
76541.00,783.89,-38.77,-70.35
56459.00,1062.72,-38.60,-67.87
94732.00,633.37,-42.49,-71.86
75044.00,799.53,-45.45,-75.15
76593.00,783.36,-47.68,-78.32
453903.00,132.19,-66.42,-96.35
75832.00,791.22,-57.OK+Col:0325,-92.67
75018.00,799.81,-50.72,-89.55
75753.00,792.05,-43.18,-87.81
373370.00,160.70,-31.02,-86.01
50737.00,1182.57,-30.53,-82.24
19290.00,3110.42,-25.01,-79.26
53126.00,1129.39,-24.77,-76.40
59058.00,1015.95,-271,-60.57
75674.00,7,792.05,-21.73,-56.44
76567.00,783.63,-18.06,-54.31
76698.00,782.29,-10.71,-53.66
91005.00,659.30,3.62,-52.36
76619.00,783.10,16.67,-51.30
62181.00,964.92,24.08,-50.96
75779.00,791.78,31.26,-50.73
13620.00,4405.29,28.74,-51.89
74914.00,800.92,35.24,-51.18
60632.00,989.58,34.89,-52.29
13543.00,4430.33,31.79,-53.57
59713.00,1004.81,31.25,-53.98
72498.00,827.61,31.04,-55.26
71920.00,834.26,27.61,-55.84
85492.00,701.82,26.09,-55.81
70923.00,845.99,22.65,-56.23
73390.00,817.55,19.28,-56.47
72498.00,827.61,15.60,-56.40
72576.00,826.72,15.06,-56.76
74126.00,809.43,15.84,-56.76
74230.00,808.30,17.90,-55.80
76567.00,783.63,19.38,-54.39
75044.00,799.53,21.23,-53.31
77380.00,775.39,23.21,-51.80
77250.00,776.70,24.19,-50.37
76698.00,782.29,27.60,-49.94
77380.00,775.39,34.23,-49.69
77250.00,776.70,38.05,-49.71
75044.00,799.53,41.59,-50.19
74231.00,808.29,42.44,-49.77
73416.00,817.26,39.82,-50.59
72629.00,826.12,33.77,-51.66
72471.00,827.92,26.49,-53.29
72472.00,827.91,17.87,-54.28
71894.00,834.56,9.38,-55.00
71763.00,836.09,1.13,-55.87
72603.00,826.41,-4.60,-56.19
71737.00,836.39,-9.37,-57.46
74178.00,808.87,-12.71,-56.83
71683.00,837.02,-14.73,-56.59
73390.00,817.55,-17.79,-56.86
73470.00,816.66,-18.11,-56.73
75674.00,792.87,-18.43,-54.96
73418.00,817.24,-17.36,-51.93
71789.00,835.78,-15.75,-50.20
74178.00,808.87,-13.39,-48.19
74886.00,801.22,-10.79,-45.32
78195.00,767.31,-9.74,-41.66
72576.00,826.72,-5.68,-39.76
75832.00,791.22,-3.40,-37.14
79008.00,759.42,-2.80,-33.92
74126.00,809.43,-1.22,-32.36
76619.00,783.10,-0.44,-30.54
78221.00,767.06,1.69,-29.39
76619.00,783.10,8.45,-28.84
76645.00,782.83,14.15,-27.87
74966.00,800.36,19.15,-27.47
72445.00,828.21,20.51,-27.31
75858.00,790.95,21.18,-27.71
73364.00,817.84,19.32,-28.98
72577.00,826.71,17.30,-29.29
70082.00,856.14,14.00,-30.19
71711.00,836.69,9.18,-31.35
71816.00,835.47,0.33,-31.46
72498.00,827.61,-6.31,-31.66
73443.00,816.96,-11.56,-31.25
73286.00,818.71,-15.60,-30.47
74257.00,808.00,-18.58,-29.74
